post-thumbnail href,attachment-medium src,cat-tag href,cat-tag,entry-date,entry-title,author,author href,avatar src,url,url href,post-thumbnail href 2,attachment-medium src 2,cat-tag href 2,cat-tag 2,entry-date 2,entry-title 2,author 2,author href 2,avatar src 2,url 2,url href 2,updated
https://www.altnews.in/did-signage-in-uttarakhand-urge-muslims-to-buy-only-from-muslim-vendors-during-eid/,https://www.altnews.in/wp-content/uploads/2025/03/Heading-3-1-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,20th March 2025,Did signage in Uttarakhand urge Muslims to buy only from Muslim vendors during Eid?,by,https://www.altnews.in/author/ankita/,https://secure.gravatar.com/avatar/431fc2b48bc384dede6e52f5c00fd9f3?s=32&d=identicon&r=g,Ankita Mahalanobish,https://www.altnews.in/author/ankita/,https://www.altnews.in/viral-footage-of-bangladesh-student-leader-nahid-islam-kissing-jamaat-e-islami-chief-is-doctored/,https://www.altnews.in/wp-content/uploads/2025/03/FI-Template-2025-03-19T184900.512-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,19th March 2025,Viral footage of Bangladesh student leader Nahid Islam kissing Jamaat-e-Islami chief is doctored,by,https://www.altnews.in/author/oishani/,https://secure.gravatar.com/avatar/6ac50c5465074ff5e2959b069f8e3a01?s=32&d=identicon&r=g,Oishani Bhattacharya,https://www.altnews.in/author/oishani/,
https://www.altnews.in/mock-drill-video-at-vit-ellore-shared-as-terrorist-attack-in-campus/,https://www.altnews.in/wp-content/uploads/2025/03/VIT-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,17th March 2025,Mock drill video falsely viral as terror attack at Vellore tech institute,by,https://www.altnews.in/author/kinjal/,https://secure.gravatar.com/avatar/d6311cc8df2415743434afda6290902c?s=32&d=identicon&r=g,Kinjal,https://www.altnews.in/author/kinjal/,https://www.altnews.in/did-mohammad-shami-forced-to-take-energy-drink-while-roza-edited-clip-viral/,https://www.altnews.in/wp-content/uploads/2025/03/shami-300x157.jpeg,https://www.altnews.in/topics/politics/,Politics,17th March 2025,Mohammed Shami was not forced to break Ramadan fast; doctored video viral,by,https://www.altnews.in/author/abhishekkumar/,https://www.altnews.in/wp-content/uploads/2022/04/187085575_112807037646922_279397405360121640_n-min1-150x150.jpg,Abhishek Kumar,https://www.altnews.in/author/abhishekkumar/,
https://www.altnews.in/viral-video-where-a-girll-claims-extorting-money-from-boyfriend-false-pregnancy/,https://www.altnews.in/wp-content/uploads/2025/03/sejal-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,17th March 2025,"Video of woman who ‘extorted’ money with false positive pregnancy results is scripted, nor is her name Yaseefa",by,https://www.altnews.in/author/priyanka-jha/,https://www.altnews.in/wp-content/uploads/2021/08/avatar_user_30_1601386501-80x80-1.jpg,Priyanka Jha,https://www.altnews.in/author/priyanka-jha/,https://www.altnews.in/false-claim-of-attoricity-on-hindu-minority-in-bangladesh-shared-with-a-video/,https://www.altnews.in/wp-content/uploads/2025/03/bdesh-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,10th March 2025,Bangladesh video of assault on suspected robbers viral with false Hindu-Muslim narrative,by,https://www.altnews.in/author/kinjal/,https://secure.gravatar.com/avatar/d6311cc8df2415743434afda6290902c?s=32&d=identicon&r=g,Kinjal,https://www.altnews.in/author/kinjal/,
https://www.altnews.in/atrocities-against-a-hindu-family-in-bangladesh-no-video-viral-with-false-claims/,https://www.altnews.in/wp-content/uploads/2025/03/FI-Bdesh-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,8th March 2025,Atrocities against a Hindu family in Bangladesh? No. Video viral with false claims,by,https://www.altnews.in/author/abiradas/,https://secure.gravatar.com/avatar/8ebae6a59c55878a9a2865e984171e1b?s=32&d=identicon&r=g,Abira Das,https://www.altnews.in/author/abiradas/,https://www.altnews.in/image-of-bleeding-cow-circulated-with-false-claim-that-it-was-injured-by-muslims/,https://www.altnews.in/wp-content/uploads/2025/03/Diti-Feature-Image-Template-14-300x169.jpg,https://www.altnews.in/topics/politics/,Politics,5th March 2025,Image of bleeding cow circulated with false claim that it was injured by Muslims,by,https://www.altnews.in/author/prantikali/,https://secure.gravatar.com/avatar/021959ca584ad860e3e8e65a629cd8e7?s=32&d=identicon&r=g,Prantik Ali,https://www.altnews.in/author/prantikali/,
https://www.altnews.in/couple-caught-in-a-vulgar-act-during-maha-kumbh-mela-no-viral-video-is-from-2022-in-ayodhya/,https://www.altnews.in/wp-content/uploads/2025/03/Diti-Feature-Image-Template-13-300x169.jpg,https://www.altnews.in/topics/politics/,Politics,4th March 2025,"Couple caught in a ‘vulgar’ act during Maha Kumbh Mela? No, viral video is from 2022 in Ayodhya",by,https://www.altnews.in/author/prantikali/,https://secure.gravatar.com/avatar/021959ca584ad860e3e8e65a629cd8e7?s=32&d=identicon&r=g,Prantik Ali,https://www.altnews.in/author/prantikali/,https://www.altnews.in/edited-vidio-of-donald-trump-shared-as-disrespectful-comments-on-indians-by-him-viral/,https://www.altnews.in/wp-content/uploads/2025/02/trump-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,25th February 2025,‘Indians should clean up trash’: Viral Trump press conference video is doctored,by,https://www.altnews.in/author/abhishekkumar/,https://www.altnews.in/wp-content/uploads/2022/04/187085575_112807037646922_279397405360121640_n-min1-150x150.jpg,Abhishek Kumar,https://www.altnews.in/author/abhishekkumar/,4th March 2025
https://www.altnews.in/no-railways-has-not-reintroduced-senior-citizen-discount-scheme-viral-message-is-false/,https://www.altnews.in/wp-content/uploads/2025/02/rlys-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,21st February 2025,"No, Railways has not reintroduced senior citizen discount scheme; viral message is false",by,https://www.altnews.in/author/pawan/,https://secure.gravatar.com/avatar/d0e6376c009a577233dd9afb60f69896?s=32&d=identicon&r=g,Pawan Kumar,https://www.altnews.in/author/pawan/,https://www.altnews.in/cairo-fire-video-from-2020-falsely-viral-as-blaze-at-maha-kumbh-mela-bus-stand/,https://www.altnews.in/wp-content/uploads/2025/02/Copy-of-FI-Kit-2025-02-15T174427.461-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,15th February 2025,Cairo fire video from 2020 falsely viral as blaze at Maha Kumbh Mela bus stand,by,https://www.altnews.in/author/prantikali/,https://secure.gravatar.com/avatar/021959ca584ad860e3e8e65a629cd8e7?s=32&d=identicon&r=g,Prantik Ali,https://www.altnews.in/author/prantikali/,
https://www.altnews.in/muzaffarnagar-youth-in-viral-video-harassing-woman-is-not-a-muslim-social-media-claims-are-false/,https://www.altnews.in/wp-content/uploads/2025/02/Copy-of-FI-Kit-2025-02-12T170221.041-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,12th February 2025,Muzaffarnagar youth in viral video harassing woman is not a Muslim; social media claims are false,by,https://www.altnews.in/author/ankita/,https://secure.gravatar.com/avatar/431fc2b48bc384dede6e52f5c00fd9f3?s=32&d=identicon&r=g,Ankita Mahalanobish,https://www.altnews.in/author/ankita/,https://www.altnews.in/video-showing-bjps-kapil-mishra-making-communal-remarks-is-doctored-uses-fake-audio/,https://www.altnews.in/wp-content/uploads/2025/02/FI-Template-2025-02-05T123128.321-300x157.jpg,https://www.altnews.in/topics/religion/,Religion,5th February 2025,"Video showing BJP’s Kapil Mishra making communal remarks is doctored, uses fake audio",by,https://www.altnews.in/author/prantikali/,https://secure.gravatar.com/avatar/021959ca584ad860e3e8e65a629cd8e7?s=32&d=identicon&r=g,Prantik Ali,https://www.altnews.in/author/prantikali/,12th February 2025
https://www.altnews.in/arvind-kejriwal-shared-a-clipped-video-of-haryana-cm-nayab-saini-takes-sip-of-yamuna-river-water-in-delhi/,https://www.altnews.in/wp-content/uploads/2025/02/naib-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,4th February 2025,"Haryana CM drinking Yamuna water: Kejriwal, AAP shared clipped video with misleading claim",by,https://www.altnews.in/author/pawan/,https://secure.gravatar.com/avatar/d0e6376c009a577233dd9afb60f69896?s=32&d=identicon&r=g,Pawan Kumar,https://www.altnews.in/author/pawan/,https://www.altnews.in/aam-aadmi-party-shared-ai-generated-video-showing-modi-new-residence-ahead-of-delhi-election/,https://www.altnews.in/wp-content/uploads/2025/02/rajmahal-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,4th February 2025,AAP shares AI-generated video calling it PM Modi’s new residence ‘Rajmahal’,by,https://www.altnews.in/author/pawan/,https://secure.gravatar.com/avatar/d0e6376c009a577233dd9afb60f69896?s=32&d=identicon&r=g,Pawan Kumar,https://www.altnews.in/author/pawan/,
https://www.altnews.in/5-years-old-pamphlets-calling-kejriwal-muslim-messiah-is-viral-ahead-of-delhi-election/,https://www.altnews.in/wp-content/uploads/2025/02/pamphlet-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,4th February 2025,Delhi polls: Viral pamphlet calling Arvind Kejriwal messiah of Muslims at least 5-year old,by,https://www.altnews.in/author/pawan/,https://secure.gravatar.com/avatar/d0e6376c009a577233dd9afb60f69896?s=32&d=identicon&r=g,Pawan Kumar,https://www.altnews.in/author/pawan/,https://www.altnews.in/no-harvard-university-did-not-claim-islamic-act-of-prostration-or-sujood-posture-is-remedy-for-back-pain/,https://www.altnews.in/wp-content/uploads/2025/01/Copy-of-FI-Kit-2025-01-24T183042.804-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,27th January 2025,"No, Harvard University did not claim Islamic act of prostration or ‘Sujood’ posture is remedy for back pain",by,https://www.altnews.in/author/prantikali/,https://secure.gravatar.com/avatar/021959ca584ad860e3e8e65a629cd8e7?s=32&d=identicon&r=g,Prantik Ali,https://www.altnews.in/author/prantikali/,
https://www.altnews.in/old-video-from-bangladesh-toll-plaza-vandalism-shared-with-false-communal-angle/,https://www.altnews.in/wp-content/uploads/2025/01/truck-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,27th January 2025,Old video of Bangladesh toll plaza brawl viral with false communal claims,by,https://www.altnews.in/author/pawan/,https://secure.gravatar.com/avatar/d0e6376c009a577233dd9afb60f69896?s=32&d=identicon&r=g,Pawan Kumar,https://www.altnews.in/author/pawan/,https://www.altnews.in/old-video-shared-as-attack-on-passangers-going-mahakumbh-on-tapti-ganga-express/,https://www.altnews.in/wp-content/uploads/2025/01/train-300x157.jpg,https://www.altnews.in/topics/politics/,Politics,27th January 2025,Old video of stone-pelting on train falsely peddled as attack on Kumbh pilgrims,by,https://www.altnews.in/author/pawan/,https://secure.gravatar.com/avatar/d0e6376c009a577233dd9afb60f69896?s=32&d=identicon&r=g,Pawan Kumar,https://www.altnews.in/author/pawan/,
