Title,Link,Image,Author,Date,Description,Fake News
"No, Jadavpur University Did Not Deny Permission For Saraswati Puja Celebrations",https://www.boomlive.in/fact-check/viral-video-jadavpur-university-iftar-party-saraswati-puja-claim-fact-check-fake-news-28152,https://www.boomlive.in/h-upload/2025/03/27/500x300_1041760-jadhavpur-university-misleading.webp,Srijit Das,28 March 2025 3:51 PM IST,BOOM spoke to multiple students from the University who were part of the Saraswati Puja celebrations and refuted the viral claim.,FALSE
Why Is Elon Musk's X Fighting the Indian Government in Court?,https://www.boomlive.in/explainers/why-is-elon-musks-x-fighting-the-indian-government-in-court-28148,https://www.boomlive.in/h-upload/2025/03/27/500x300_1041759-x.webp,Hera Rizwan,27 March 2025 5:23 PM IST,"X opposes the use of Section 79(3)(b) for arbitrary takedowns and refuses to join the SAHYOG portal, arguing both bypass legal safeguards.",FALSE
Inside the Aviator Scam: How YouTubers And AI Boost An Illegal Game,https://www.boomlive.in/decode/aviator-youtubers-ai-meta-boost-an-illegal-game-india-28143,https://www.boomlive.in/h-upload/2025/03/27/500x300_1041757-whatsapp-image-2025-03-27-at-34457-pm.webp,Alishan Jafri,27 March 2025 3:48 PM IST,Decode?s investigation revealed that social media platforms have been extensively used to make illegal betting app Aviator visible to vulnerable users.,FALSE
Trump Officials Discussed War Plans On Signal?A Journalist Got In. What Followed?,https://www.boomlive.in/explainers/trump-officials-discussed-war-plans-on-signala-journalist-got-in-what-followed-28132,https://www.boomlive.in/h-upload/2025/03/26/500x300_1041688-signal.webp,Reuters,26 March 2025 5:03 PM IST,"The officials denied sharing classified information, but reports suggested otherwise, sparking calls for resignations and investigations.",FALSE
Explained: What Can Linking Voter ID With Aadhaar Mean?,https://www.boomlive.in/explainers/explained-what-can-linking-voter-id-with-aadhaar-mean-28131,https://www.boomlive.in/h-upload/2025/03/26/500x300_1041696-voter-id-aadhaar-linking0-1.webp,Hera Rizwan,26 March 2025 4:45 PM IST,"As the Election Commission of India is exploring the possibility of linking voter ID with Aadhaar number, experts warn it may compromise privacy, enable mass surveillance, and risk voter disenfranchisement.",FALSE
Video Of Pastor Praying For PM Modi Viral With False Claim,https://www.boomlive.in/fact-check/fact-check-tamil-nadu-pastor-priest-video-prayer-bless-modi-yogi-nirmala-stalin-false-claim-28130,https://www.boomlive.in/h-upload/2025/03/26/500x300_1041646-pastor-in-tamil-nadu-church-013.webp,Srijit Das,26 March 2025 4:21 PM IST,BOOM found that the pastor was asking for blessings for the political leaders in Tamil language where the words for kill and bless are phonetically similar.,TRUE
Viral Photo Of CSK Fan With Placard Abusing Aurangzeb Is Fake,https://www.boomlive.in/fact-check/viral-photo-csk-supporter-placard-former-mughal-emperor-aurangzeb-abuse-claim-fact-check-28129,https://www.boomlive.in/h-upload/2025/03/26/500x300_1041656-ramdut-sena-036.webp,Srijit Das,26 March 2025 4:20 PM IST,BOOM found that the original photo shows a CSK fan holding a placard in support for the team captain MS Dhoni.,TRUE
Content Creator Misidentified As Meerut Murder Accused Muskan Rastogi,https://www.boomlive.in/fact-check/viral-video-saurabh-rajput-meerut-murder-accused-muskan-rastogi-dancing-claim-fact-check-28099,https://www.boomlive.in/h-upload/2025/03/24/500x300_1041550-muskan-02.webp,Srijit Das,24 March 2025 7:03 PM IST,"BOOM found that the woman in the viral video is Palak Saini, a digital content creator.",FALSE
2013 Video Of Sunita Williams On Bhagavad Gita Viral As Recent,https://www.boomlive.in/fact-check/old-video-indian-heritage-sunita-williams-2013-bhagavad-gita-nasa-space-fake-claim-28095,https://www.boomlive.in/h-upload/2025/03/24/500x300_1041534-sunita-01.webp,Anmol Alphonso,24 March 2025 5:15 PM IST,BOOM found that the viral video of US astronaut Sunita Williams talking about the Bhagavad Gita is from a 2013 press conference.,FALSE
"No, These Viral Photos Of The Maha Kumbh Are Not Clicked By Sunita Williams",https://www.boomlive.in/fact-check/viral-photographs-maha-kumbh-mela-astronaut-sunita-williams-pictures-claim-fact-check-28094,https://www.boomlive.in/h-upload/2025/03/24/500x300_1041541-sunita-and-mela-02.webp,Srijit Das,24 March 2025 4:08 PM IST,BOOM found that these are unrelated aerial view photos of the Maha Kumbh and are not clicked by Sunita Williams while she was in space.,FALSE
Murder Of Youth For Refusing To Play Holi Shared With False Communal Spin,https://www.boomlive.in/videos/murder-of-youth-for-refusing-to-play-holi-shared-with-false-communal-spin-28090,https://www.boomlive.in/h-upload/videothumb/yt_2h_zmXqasUI.jpg,BOOM Team,24 March 2025 1:28 PM IST,A viral video claiming a Muslim man was lynched inside a library by Hindutva men in Rajasthan for refusing to celebrate Holi is false.,TRUE
"FIRs, Threats And Vandalism: Why Is Shiv Sena Threatening Kunal Kamra?",https://www.boomlive.in/explainers/firs-threats-and-vandalism-why-shiv-sena-is-threatening-kunal-kamra-28089,https://www.boomlive.in/h-upload/2025/03/24/500x300_1041510-kamra-012.webp,Hera Rizwan,24 March 2025 1:23 PM IST,"Shiv Sena MP Naresh Mhaske warned Kamra that he would be ""forced to flee India,"" while party leader Sanjay Nirupam openly threatened physical assault.",FALSE
Video Of Mass Cheating In Law Exam Falsely Linked To UPSC,https://www.boomlive.in/fast-check/ias-examination-uttar-pradesh-bihar-jharkhand-mass-cheating-false-claim-llb-examination-old-video-fast-check-28088,https://www.boomlive.in/h-upload/2025/03/24/500x300_1041504-ias-exam-03.webp,Srijanee Chakraborty,24 March 2025 1:16 PM IST,"An old video of a mass cheating incident during a law examination has gone viral on social media claiming it shows examinees cheating in the IAS examination in the states of Uttar Pradesh, Bihar and Jharkhand.",TRUE
Was ?Mahangai Dayan? Song Used To Welcome PM Modi In Mauritius?,https://www.boomlive.in/videos/was-mahangai-dayan-song-used-to-welcome-pm-mod-in-mauritius-28087,https://www.boomlive.in/h-upload/videothumb/yt_K_tl0iazFLE.jpg,BOOM Team,24 March 2025 12:23 PM IST,A viral video claiming Indian Prime Minister Narendra Modi was welcomed in Mauritius with the popular satirical song on inflation and rising prices ?Mahangai Dayan Khaaye Jaat Hai' is fake and edited.,TRUE
