cat-title,cat-title href,image-link href,image src,post-title,meta-item 2,meta-item href,meta-item 3,meta-item href 2,excerpt
Health,https://factly.in/category/health/,https://factly.in/data-while-the-number-of-arrests-under-the-ndps-act-increased-in-recent-years-convictions-remain-very-low/,https://factly.in/wp-content/uploads//2016/07/Drug-abuse-suicides_factly.in-image-702x336.png,"Data: While the Number of Arrests Under the NDPS Act Increased in Recent Years, Convictions Remain Very Low",Suresh Deepala,https://factly.in/author/sureshdeepala/,"March 10, 2025",https://factly.in/data-while-the-number-of-arrests-under-the-ndps-act-increased-in-recent-years-convictions-remain-very-low/#respond,Increasing Drug abuse has been a major concern across the world. The United Nations (UN)…
NSSO,https://factly.in/category/nsso/,https://factly.in/data-nsos-time-use-survey-indicates-a-12-increase-in-daily-time-spent-on-culture-leisure-mass-media-and-sports-activities/,https://factly.in/wp-content/uploads//2025/03/time-use-survey-featured-image-702x336.png,"Data: NSO’s Time Use Survey Indicates a 12% Increase in Daily Time Spent on Culture, Leisure, Mass-Media and Sports Activities",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"March 7, 2025",https://factly.in/data-nsos-time-use-survey-indicates-a-12-increase-in-daily-time-spent-on-culture-leisure-mass-media-and-sports-activities/#respond,The National Statistical Office conducted its first Time Use Survey in 2019. The survey measured…
Court,https://factly.in/category/court/,https://factly.in/review-patna-hc-rules-that-family-is-the-best-institution-for-juvenile-rehabilitation-and-reintegration/,https://factly.in/wp-content/uploads//2025/03/Patna-High-court-featured-image-702x336.jpg,Review: Patna HC Rules That Family is the Best Institution for Juvenile Rehabilitation and Reintegration,Pavithra K M,https://factly.in/author/pavithrakm/,"March 5, 2025",https://factly.in/review-patna-hc-rules-that-family-is-the-best-institution-for-juvenile-rehabilitation-and-reintegration/#respond,"In this edition of the Court Judgements review, we look at the Supreme Court’s judgement…"
Explainer,https://factly.in/category/explainer/,https://factly.in/review-what-is-indias-national-policy-for-rare-diseases/,https://factly.in/wp-content/uploads//2025/03/rare-diseases-featured-image-702x336.jpg,Review: What is India’s National Policy for Rare Diseases?,Suresh Deepala,https://factly.in/author/sureshdeepala/,"March 4, 2025",https://factly.in/review-what-is-indias-national-policy-for-rare-diseases/#respond,"As per India’s National Policy for Rare Diseases (NPRD), there are between 7000-8000 such rare…"
Government Revenue,https://factly.in/category/government-revenue/,https://factly.in/data-as-of-march-2022-nearly-5-02-lakh-cases-remained-unresolved-at-commissioner-of-income-tax-appeals-amounting-to-%e2%82%b914-18-lakh-crores/,https://factly.in/wp-content/uploads//2021/03/Cesses-Surcharges_Image-702x336.jpg,"Data: As of March 2022, Nearly 5.02 Lakh Cases Remained Unresolved at Commissioner of Income Tax (Appeals) Amounting to ₹14.18 Lakh Crores",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"March 3, 2025",https://factly.in/data-as-of-march-2022-nearly-5-02-lakh-cases-remained-unresolved-at-commissioner-of-income-tax-appeals-amounting-to-%e2%82%b914-18-lakh-crores/#respond,"Data indicates that by the end of 2021-22, nearly 5.02 lakh cases remained unresolved at…"
medical,https://factly.in/category/medical/,https://factly.in/data-medical-visas-issued-by-india-down-more-than-20-in-2024-on-account-of-political-unrest-in-bangladesh/,https://factly.in/wp-content/uploads//2025/02/medical-tourism-india-featured-image-702x336.jpg,Data: Medical Visas Issued by India Down More Than 20% in 2024 on Account of Political Unrest in Bangladesh,Pavithra K M,https://factly.in/author/pavithrakm/,"February 28, 2025",https://factly.in/data-medical-visas-issued-by-india-down-more-than-20-in-2024-on-account-of-political-unrest-in-bangladesh/#respond,"India introduced the Medical Visa in June 2005. In the last many years, India has…"
Court,https://factly.in/category/court/,https://factly.in/review-odisha-hc-rules-that-in-the-jurisprudence-of-sexual-offences-absence-or-presence-of-consent-is-the-very-essence-of-criminal-culpability/,https://factly.in/wp-content/uploads//2024/02/orissa-high-court-702x336.jpg,"Review: Odisha HC Rules That in The Jurisprudence of Sexual Offences, Absence or Presence of Consent is The Very Essence of Criminal Culpability.",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"February 26, 2025",https://factly.in/review-odisha-hc-rules-that-in-the-jurisprudence-of-sexual-offences-absence-or-presence-of-consent-is-the-very-essence-of-criminal-culpability/#respond,"In this edition of the Court Judgements review, we look at the Supreme Court’s judgements…"
budget,https://factly.in/category/budget/,https://factly.in/data-as-of-2023-24-more-than-90-of-the-unrealized-tax-revenue-is-corporation-income-tax-related/,https://factly.in/wp-content/uploads//2021/03/Cesses-Surcharges_Image-702x336.jpg,"Data: As of 2023-24, more than 90% of The Unrealized Tax Revenue is Corporation & Income Tax Related",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"February 25, 2025",https://factly.in/data-as-of-2023-24-more-than-90-of-the-unrealized-tax-revenue-is-corporation-income-tax-related/#respond,Data from the budget documents indicates that a significant portion of taxes remain locked in…
finance,https://factly.in/category/finance/,https://factly.in/data-karnataka-kerala-tamil-nadu-top-the-panchayat-devolution-index/,https://factly.in/wp-content/uploads//2025/02/panchayat-office-karnataka--702x336.png,"Data: Karnataka, Kerala, Tamil Nadu Top the Panchayat Devolution Index",Pavithra K M,https://factly.in/author/pavithrakm/,"February 24, 2025",https://factly.in/data-karnataka-kerala-tamil-nadu-top-the-panchayat-devolution-index/#respond,The Ministry of Panchayati Raj recently in February 2025 released the report titled “Status of…
Education,https://factly.in/category/education/,https://factly.in/review-niti-aayog-reports-highlights-the-financial-academic-governance-employability-challenges-of-state-public-universities/,https://factly.in/wp-content/uploads//2025/02/state-university-india-featured-image-702x336.jpg,"Review: NITI Aayog Reports Highlights the Financial, Academic, Governance & Employability Challenges of State Public Universities",Suresh Deepala,https://factly.in/author/sureshdeepala/,"February 21, 2025",https://factly.in/review-niti-aayog-reports-highlights-the-financial-academic-governance-employability-challenges-of-state-public-universities/#respond,NITI Aayog recently published a policy report titled ‘Expanding Quality Higher Education through States and…
